MODELO	CDO	COLOR	PRECIO DE LISTA	PRECIO EN PROMOCIÓN
CAPTIVA 5 LS 2.4L FWD 6MT	378924	CAFE ARENA METALICO	 $ 15.284.000 	 $ 12.290.000 
CAPTIVA 5 LS 2.4L FWD 6MT	381363	NEGRO	 $ 15.284.000 	 $ 12.290.000 
CAPTIVA 5 LS 2.4L FWD 6MT	381361	BLANCO	 $ 15.284.000 	 $ 12.290.000 
CAPTIVA 5 LT 2.2D AWD 6MT	378838	GRIS GRANITO METALICO	 $ 17.904.000 	 $ 14.990.000 
CAPTIVA 5 LT 2.2D AWD 6MT	381365	CAFE ESPRESSO	 $ 17.904.000 	 $ 14.990.000 
CAPTIVA 5 LT 2.4L AWD 6MT	377612	PLATA METALICO	 $ 16.701.000 	 $ 13.990.000 
CAPTIVA 5 LT 2.4L AWD 6MT	378925	BLANCO	 $ 16.701.000 	 $ 13.990.000 
CAPTIVA 5 LT FULL 2.2D AWD 6AT	378490	GRIS GRANITO METALICO	 $ 20.104.000 	 $ 16.990.000 
CAPTIVA 5 LT FULL 2.4L AWD 6AT	377615	NEGRO	 $ 18.459.000 	 $ 14.990.000 
CAPTIVA 5 LT-SA 2.4L FWD 6AT	376709	GRIS GRANITO METALICO	 $ 16.357.000 	 $ 13.590.000 
CAPTIVA 5 LT-SA 2.4L FWD 6AT	381366	PLATA METALICO	 $ 16.357.000 	 $ 13.590.000 
CAPTIVA 5 LT-SA 2.4L FWD 6AT	381368	NEGRO	 $ 16.357.000 	 $ 13.590.000 
CAPTIVA IV LT 2.4L AWD 6MT	384750	PLATA METALICO	 $ 15.219.000 	 $ 12.790.000 
CAPTIVA IV LT 2.4L AWD 6MT	388169	GRIS GRANITO METALICO	 $ 15.219.000 	 $ 12.790.000 
CAPTIVA IV LT-SA 2.4L FWD 6AT	384751	GRIS GRANITO METALICO	 $ 14.905.000 	 $ 12.290.000 
CRUZE E5 HB 1.8 MT LS	377619	AZUL PIEDRA	 $ 10.478.000 	 $ 8.990.000 
CRUZE E5 NB 1.8 MT LS	376889	AZUL PIEDRA	 $ 10.040.000 	 $ 8.690.000 
CRUZE E5 NB 1.8 MT LS	378493	BURDEO METALICO	 $ 10.040.000 	 $ 8.690.000 
CRUZE II HB 1.8 AT LS	382559	AZUL METALICO MISTICO	 $ 10.123.000 	 $ 8.990.000 
CRUZE II HB5 2.0D MT LT	337916	GRIS ACERO METALICO	 $ 14.591.000 	 $ 11.590.000 
CRUZE II NB 1.8 AT LS	381369	GRIS METALICO	 $ 10.195.000 	 $ 7.790.000 
CRUZE II NB 2.0D AT LS FULL	374774	PLATA METALICO	 $ 14.131.000 	 $ 12.590.000 
CRUZE II NB 2.0D MT LS	342190	GRIS ACERO METALICO	 $ 13.030.000 	 $ 10.890.000 
CRUZE II NB 2.0D MT LS	348082	PLATA METALICO	 $ 13.030.000 	 $ 10.890.000 
D-MAX II CC 2.5D  WT	379343	ROJO GRANATE	 $ 15.340.000 	 $ 14.290.000 
D-MAX II CC 2.5D  WT	379344	ROJO GRANATE	 $ 15.340.000 	 $ 14.290.000 
D-MAX II CC 2.5D  WT	379345	ROJO GRANATE	 $ 15.340.000 	 $ 14.290.000 
D-MAX II CC 2.5D  WT	379347	BLANCO	 $ 15.340.000 	 $ 14.290.000 
D-MAX II CC 2.5D 4WD DAB ABS	380352	GRIS MINERAL METALICO	 $ 17.710.000 	 $ 15.990.000 
D-MAX II CC 2.5D 4WD DAB ABS	380353	ROJO GRANATE	 $ 17.710.000 	 $ 15.990.000 
D-MAX II CC 2.5D 4WD DAB ABS	380354	ROJO GRANATE	 $ 17.710.000 	 $ 15.990.000 
D-MAX II CC 2.5D 4WD DAB ABS	380355	ROJO GRANATE	 $ 17.710.000 	 $ 15.990.000 
D-MAX II CC 2.5D 4WD DAB ABS	380356	NEGRO	 $ 17.710.000 	 $ 15.990.000 
D-MAX II CC 2.5D 4WD DAB ABS	380357	PLATA	 $ 17.710.000 	 $ 15.990.000 
D-MAX II CC 2.5D 4WD HIGH MT	379680	NEGRO	 $ 19.560.000 	 $ 18.590.000 
D-MAX II CC 2.5D 4WD HIGH MT	379681	PLATA	 $ 19.560.000 	 $ 18.590.000 
D-MAX II CC 2.5D 4WD HIGH MT	379682	AZUL OSCURO	 $ 19.560.000 	 $ 18.590.000 
D-MAX II CC 2.5D DAB ABS	380344	ROJO GRANATE	 $ 16.680.000 	 $ 15.290.000 
D-MAX II CC 2.5D DAB ABS	380346	ROJO GRANATE	 $ 16.680.000 	 $ 15.290.000 
D-MAX II CC 2.5D DAB ABS	380347	AZUL OSCURO	 $ 16.680.000 	 $ 15.290.000 
D-MAX II CC 2.5D DAB ABS	380348	GRIS MINERAL METALICO	 $ 16.680.000 	 $ 15.290.000 
D-MAX II CC 2.5D DAB ABS	380349	GRIS MINERAL METALICO	 $ 16.680.000 	 $ 15.290.000 
ORLANDO LS 2.0LD 6AT	374794	GRIS ACERO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	376899	GRIS METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	376905	BURDEO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	376906	AZUL ZAFIRO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	377620	GRIS ACERO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	377621	GRIS ACERO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	377622	GRIS METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	377623	BLANCO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	377625	BLANCO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	377626	BURDEO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378937	PLATA METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378938	PLATA METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378939	BLANCO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378940	BLANCO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378941	AZUL METALICO MISTICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378943	GRIS ACERO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378944	GRIS ACERO METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6AT	378945	GRIS METALICO	 $ 15.342.000 	 $ 13.790.000 
ORLANDO LS 2.0LD 6MT	376894	BURDEO METALICO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	376896	AZUL ZAFIRO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	376752	PLATA METALICO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	378933	BLANCO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	378930	NEGRO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	378932	BURDEO METALICO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	378931	PLATA METALICO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	381371	PLATA METALICO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LS 2.0LD 6MT	381372	GRIS ACERO METALICO	 $ 14.303.000 	 $ 12.590.000 
ORLANDO LT E5 2.4 6AT	365378	AZUL METALICO MISTICO	 $ 12.880.000 	 $ 11.290.000 
ORLANDO LT E5 2.4 6AT	369614	AZUL METALICO MISTICO	 $ 12.880.000 	 $ 11.290.000 
ORLANDO LT E5 2.4 6AT FULL	381375	BURDEO METALICO	 $ 14.403.000 	 $ 12.590.000 
ORLANDO LT E5 2.4 6AT FULL	381376	AZUL METALICO MISTICO	 $ 14.403.000 	 $ 12.590.000 
SAIL E5 NB 1.4	381433	NARANJO METALICO	 $ 6.283.000 	 $ 5.390.000 
SAIL E5 NB 1.4 LS	381449	ROJO	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381450	AZUL METALICO	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381451	GRIS PIEDRA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381452	AZUL METALICO	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381456	GRIS PIEDRA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381457	NARANJO METALICO	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381459	PLATA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381461	PLATA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381462	PLATA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381465	BLANCO	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381466	BLANCO	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381467	PLATA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LS	381458	PLATA	 $ 6.596.000 	 $ 5.490.000 
SAIL E5 NB 1.4 LT	376928	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	376931	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	376944	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378272	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378273	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378276	PLATA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378280	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378284	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378209	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378210	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378211	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378212	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378214	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378215	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378216	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378217	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378223	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378226	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378229	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378230	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378232	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378236	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378238	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378239	GRIS PIEDRA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378240	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378244	GRIS PIEDRA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378245	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378247	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378249	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378250	GRIS PIEDRA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378252	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378253	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378254	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378256	PLATA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378261	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378263	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378264	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378267	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	378269	PLATA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381473	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381475	ROJO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381478	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381479	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381480	GRIS PIEDRA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381481	BLANCO	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381482	GRIS PIEDRA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381484	PLATA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381485	PLATA	 $ 7.364.000 	 $ 5.890.000 
SAIL E5 NB 1.4 LT	381483	NARANJO METALICO	 $ 7.364.000 	 $ 5.890.000 
SAIL II NB 1.4 LS	374824	GRIS PIEDRA	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	375139	ROJO	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	375140	ROJO	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	375145	PLATA	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	376918	ROJO	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	377645	ROJO	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	377647	PLATA	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	377648	BLANCO	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	377649	PLATA	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	378568	PLATA	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	378569	PLATA	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LS	378571	ROJO	 $ 6.102.000 	 $ 5.490.000 
SAIL II NB 1.4 LT	371356	AZUL METALICO	 $ 6.808.000 	 $ 5.790.000 
SILVERADO LT III EC 4P 5.3 4WD	377488	GRIS GRAFITO METALICO	 $ 22.690.000 	 $ 20.590.000 
SILVERADO LTZ III CC 5.3 4WD AT	348896	PLATA METALICO	 $ 27.020.000 	 $ 24.590.000 
SILVERADO LTZ III CC 5.3 4WD AT NAV	377494	NEGRO	 $ 29.090.000 	 $ 26.990.000 
SILVERADO LTZ III CC 5.3 4WD AT NAV	377495	PLATA METALICO	 $ 29.090.000 	 $ 26.990.000 
SILVERADO LTZ III CC 5.3 4WD AT NAV	379095	BLANCO INVIERNO	 $ 29.090.000 	 $ 26.990.000 
SILVERADO LTZ III CC 5.3 4WD Z71 NAV	377490	ROJO	 $ 26.279.000 	 $ 23.990.000 
SILVERADO LTZ III CC 5.3 4WD Z71 NAV	377492	GRIS GRAFITO METALICO	 $ 26.279.000 	 $ 23.990.000 
SILVERADO LTZ III CC 5.3 4WD Z71 NAV	377491	NEGRO	 $ 26.279.000 	 $ 23.990.000 
SONIC E5 HB 5P 1.6 MT	371202	BURDEO METALICO	 $ 8.404.000 	 $ 6.990.000 
SONIC E5 HB 5P 1.6 MT	371205	CAFE ARENA METALICO	 $ 8.404.000 	 $ 6.990.000 
SONIC E5 HB 5P 1.6 MT	371204	GRIS METALICO	 $ 8.404.000 	 $ 6.990.000 
SONIC E5 HB 5P 1.6 MT	371201	PLATA METALICO	 $ 8.404.000 	 $ 6.990.000 
SONIC E5 HB 5P 1.6 MT	377652	BLANCO PERLA	 $ 8.404.000 	 $ 6.990.000 
SONIC E5 HB 5P 1.6 MT	377653	AZUL CLARO METALICO	 $ 8.404.000 	 $ 6.990.000 
SONIC E5 LT NB  1.6 AT	382506	PLATA METALICO	 $ 10.323.000 	 $ 8.890.000 
SONIC E5 LT NB  1.6 MT	377399	AZUL CLARO METALICO	 $ 9.444.000 	 $ 7.790.000 
SONIC E5 LT NB  1.6 MT	381380	CAFE ESPRESSO	 $ 9.444.000 	 $ 7.790.000 
SONIC E5 LT NB  1.6 MT	381381	CAFE ARENA METALICO	 $ 9.444.000 	 $ 7.790.000 
SONIC E5 LT NB  1.6 MT	381379	GRIS METALICO	 $ 9.444.000 	 $ 7.790.000 
SONIC II HB 5P 1.6 MT	372655	NEGRO	 $ 7.768.000 	 $ 6.850.000 
SONIC II HB 5P 1.6 MT	374314	NEGRO	 $ 7.768.000 	 $ 6.850.000 
SONIC II LT HB 5P 1.6 MT	382314	PLATA METALICO	 $ 8.728.000 	 $ 7.390.000 
SONIC II LT HB 5P 1.6 MT	385952	BURDEO METALICO	 $ 8.728.000 	 $ 7.390.000 
SONIC II NB 1.6 MT	383556	PLATA METALICO	 $ 7.667.000 	 $ 6.390.000 
SPARK GT E5 1.2 MT LT AC BT	376733	NEGRO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	376737	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	376995	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	376996	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	376997	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	376999	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377000	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377006	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377008	VERDE LIMA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377687	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377688	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377692	VERDE LIMA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377693	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377694	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377696	VERDE LIMA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377699	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377701	NEGRO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377703	NEGRO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	377705	CELESTE METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378772	BLANCO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378961	NEGRO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378962	NEGRO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378963	NEGRO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378969	BLANCO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378971	BLANCO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378973	BLANCO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378974	BLANCO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378976	BLANCO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378978	VERDE LIMA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378979	VERDE LIMA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378981	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378983	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378984	CELESTE LAVANDA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378985	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378988	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378989	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378990	PLATA METALICO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378991	ROJO SOLAR	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378992	VERDE LIMA	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378987	GRIS TITANIO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT AC BT	378982	GRIS TITANIO	 $ 7.090.000 	 $ 5.760.000 
SPARK GT E5 1.2 MT LT BT	374343	ROJO SOLAR	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	376982	CELESTE LAVANDA	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	377686	CELESTE LAVANDA	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	378996	BLANCO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	379001	VERDE LIMA	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	379008	PLATA METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	379009	CELESTE LAVANDA	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	379010	PLATA METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	379011	PLATA METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381499	BLANCO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381501	BLANCO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381502	PLATA METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381504	PLATA METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381490	BLANCO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381491	CELESTE LAVANDA	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381495	ROJO SOLAR	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381497	CELESTE METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK GT E5 1.2 MT LT BT	381503	PLATA METALICO	 $ 6.111.000 	 $ 4.990.000 
SPARK LITE E5 0.8 MT	371434	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	371438	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	371449	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	371437	BLANCO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	371453	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
SPARK LITE E5 0.8 MT	374346	PLATA METALICO	 $ 4.737.000 	 $ 3.750.000 
